name;company;technology;job;location_city;salary_low;salary_high;salary_currency;salary_avg;location_country;is_senior
lead big data engineer (python+azure);SoftServe;• Python;data engineer;not listed;22000;35000;PLN;28500.0;;0
staff analytics engineer - data modeler;GetInData | Part of Xebia;• SQL;data engineer;not listed;30240;35280;PLN;32760.0;;0
data engineer;Nordcloud;• Azure;data engineer;not listed;20000;32000;PLN;26000.0;;0
data engineer with sql;Axpo Polska Sp.z.o.o.;• Python;data engineer;warszawa;12000;18000;PLN;15000.0;;0
junior data operations engineer;Link Group;• SQL;data engineer;warszawa;8400;11760;PLN;10080.0;;0
senior data engineer;Avenga;• Spark;data engineer;not listed;26880;30240;PLN;28560.0;;1
mid data engineer (python);Sunscrapers;• Python;data engineer;not listed;10000;16000;PLN;13000.0;;0
big data engineer;RTB House;• Java;data engineer;not listed;30000;47000;PLN;38500.0;;0
senior data engineer;Sigma IT Poland;• Python;data engineer;not listed;25200;28560;PLN;26880.0;;1
big data engineer;Grid Dynamics;• Scala;data engineer;not listed;21000;37000;PLN;29000.0;;0
snowflake data engineer - us startup;From Poland With Dev;• SQL;data engineer;not listed;15000;28000;PLN;21500.0;;0
data engineer;Addepto;• Python;data engineer;not listed;20100;30200;PLN;25150.0;;0
big data engineer;Avenga;• Spark;data engineer;not listed;21840;28560;PLN;25200.0;;0
junior data engineer;Reply Polska;• Spark;data engineer;not listed;5000;9000;PLN;7000.0;;0
software engineer;Fathom;• Python;data engineer;not listed;28245;56511;PLN;42378.0;;0
junior data engineer;Documati;• SQL;data engineer;warszawa;5500;8000;PLN;6750.0;;0
medior/senior data engineer;NIX Tech Kft.;;data engineer;budapest;5675;8884;PLN;7279.5;;1
data engineer;Fox & Wolf HR Solutions Kft.;• Azure;data engineer;budapest;12339;18508;PLN;15423.5;;0
data pipeline engineer;Instructure Hungary Kft;• Java;data engineer;budapest;18508;24678;PLN;21593.0;;0
junior data engineer;NIX Tech Kft.;• Python;data engineer;budapest;6576;8834;PLN;7705.0;;0
mid data scientist;smartpatient;• Python;data scientist;not listed;15750;19300;PLN;17525.0;;0
data scientist;Mindbox S.A.;• Google Cloud Platform;data scientist;not listed;25200;31500;PLN;28350.0;;0
data scientist/ ai product owner;Britenet;• Python;data scientist;lublin;18480;21000;PLN;19740.0;;0
senior/ lead data scientist;Adform Sp. z o.o.;• Python;data scientist;warszawa;24000;30000;PLN;27000.0;;1
data science mlops;PKO Finat Sp. z o.o.;• Python;data scientist;warszawa;18480;23520;PLN;21000.0;;0
data scientist/python developer;Avenga;• Python;data scientist;not listed;21840;25200;PLN;23520.0;;0
data scientist;Axiom Health;• Python;data scientist;not listed;26913;35884;PLN;31398.5;;0
data scientist;EMPIK S. A.;• Python;data scientist;warszawa;10000;15000;PLN;12500.0;;0
data scientist;Hoist Finance AB (oddział w Polsce);• SQL;data scientist;wrocław;13000;18000;PLN;15500.0;;0
data scientist / data engineer;vonRoll Infratec.com;• Python;data scientist;kraków;20000;26000;PLN;23000.0;;0
data scientist lead;Objectivity;• Python;data scientist;not listed;30240;38640;PLN;34440.0;;0
regular / senior data scientist;hubQuest;• Python;data scientist;not listed;20000;28500;PLN;24250.0;;1
lead data scientist;Enloyd Kft.;• Python;data scientist;budapest;23444;25911;PLN;24677.5;;0
